自定义广播,#genre#
国际新闻,https://lhttp.qtfm.cn/live/20500172/64k.mp3
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
CCTV-13 新闻（伴音）,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
CCTV-9纪录伴音,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV-13新闻伴音,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
新闻听天下,https://lhttp.qtfm.cn/live/20500169/64k.mp3
CCTV-5体育伴音,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV-4中文国际伴音,https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8
全澳华语广播华厦之声,http://46.4.40.246:8059/stream
新西兰华人之声AM936新超凡,http://radio.936.nz:8000/am936
加拿大中文电台FM.96.1,https://5b2959fe11444.streamlock.net/radio/fm961.stream/playlist.m3u8
纽约华语广播国语台,http://mobilewkdm.serverroom.us:6912/;14481715552093544stream.nsv
自由亚洲,https://rfa-ingest.akamaized.net/hls/live/2040699/RFA_AUDIO_LIVE1/master.m3u8
ABC NewsRadio MP3,http://www.abc.net.au/res/streaming/audio/mp3/news_radio.pls
北京卫视伴音,https://piccpndali.v.myalicdn.com/audio/btv1_2.m3u8
星岛中文电台国语广播,http://nap.casthost.net:8759/;?icy=http
CRI中文环球广播·CRI chinese service,http://sk.cri.cn/hyhq.m3u8
KBS World Chinese Radio,http://101.79.244.199:1935/cocotv/_definst_/CH00002/playlist.m3u8
NHK国际广播（华语时间19:30、20:30、21:30、22:30）,https://nhkwlive-radio.akamaized.net/hls/live/2032381/radio-rs1/index_03.m3u8
两广之声音乐台,https://lhttp.qtfm.cn/live/20500149/64k.mp3
RFA Chinese,https://rfa-ingest.akamaized.net/hls/live/2040699/RFA_AUDIO_LIVE1/master.m3u8
CCTV-15音乐伴音,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
CCTV-2财经伴音,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
