緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
民視HD,rtmp://f13h.mine.nu/sat/tv051
中視HD,rtmp://f13h.mine.nu/sat/tv091
華視HD,rtmp://f13h.mine.nu/sat/tv111
台視HD,rtmp://f13h.mine.nu/sat/tv071
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
CINEMAX,http://125.227.210.55:8151/VideoInput/play.ts 
CNBC,http://125.227.210.55:8152/VideoInput/play.ts 
HBO HD,http://125.227.210.55:8153/VideoInput/play.ts 
Discovery,http://125.227.210.55:8154/VideoInput/play.ts 
緯來體育台,http://125.227.210.55:8155/VideoInput/play.ts 
🈲驚艷台,http://125.227.210.55:8156/VideoInput/play.ts 
🍌香蕉台,http://125.227.210.55:8159/VideoInput/play.ts 
三立台灣台,http://125.227.210.55:8160/VideoInput/play.ts 
Bloomberg,http://125.227.210.55:8161/VideoInput/play.ts 
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts 
BBC new,http://125.227.210.55:8165/VideoInput/play.ts 
CNN new,http://125.227.210.55:8166/VideoInput/play.ts 
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts 
JTV,http://125.227.210.55:8169/VideoInput/play.ts
TVRI,http://125.227.210.55:8172/VideoInput/play.ts
TVRI2,http://125.227.210.55:8173/VideoInput/play.ts 
TVBS新聞台,http://125.227.210.55:8186/VideoInput/play.ts 
食尚玩家,http://125.227.210.55:8187/VideoInput/play.ts 
TVBS HD,http://125.227.210.55:8188/VideoInput/play.ts 
👅奥視🔞3,http://125.227.210.55:8917/VideoInput/play.ts 
💖TV5台,http://125.227.210.55:15533/VideoInput/play.ts 
💖YTN台,http://125.227.210.55:17478/VideoInput/play.ts 
💖NHK JAPAN台,http://125.227.210.55:35802/VideoInput/play.ts 
💖PBS台,http://125.227.210.55:36950/VideoInput/play.ts 
💖HD台🍒,http://125.227.210.55:39004/VideoInput/play.ts 
💖DW台,http://125.227.210.55:42534/VideoInput/play.ts 
💖BBC台,http://125.227.210.55:44350/VideoInput/play.ts 
💖KOREA台,http://125.227.210.55:48553/VideoInput/play.ts 
💖Mainu台,http://125.227.210.55:51359/VideoInput/play.ts 
🔮奥視2,http://125.227.210.55:55643/VideoInput/play.ts 
💖NHK BSP,http://125.227.210.55:60116/VideoInput/play.ts 
💖Sex ❌Girl,http://125.227.210.55:62698/VideoInput/play.ts
惊艳台,http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
潘多拉完美,http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8
香蕉台,http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8
松1台,http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松2台,http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8
松3台,http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
