午夜频道,#genre#
pigo,http://ali.hlspull.yximgs.com:80/live/5bcf75a5e2b0610a5abc7d8e448d63b7.flv
日本映画専門チャンネル,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS255&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=BS255&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
東映チャンネル,https://stream02.willfonk.com/live_playlist.m3u8?cid=CS218&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS218&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59d
东映チャンネルhttp://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs27
チャンネルNECO,https://stream02.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59d#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
动物世界,http://v2.catcast.tv/content/40546/index.m3u8
Кино 18+ International,https://v2.catcast.tv/content/40381/index.m3u8
私房写真,https://luong.utako.moe/pigoo/index.m3u8
Zoom tvhttp://185.236.229.62:9981/play/a02a
3https://live.iptvxxx.net/siptarskaGOVNA.m3u8
极限,http://ali.hlspull.yximgs.com:80/live/9fc887bd595d19d54702ddf4ae66fae0.flv
台湾频道_38450,#genre#
happy,http://ali.hlspull.yximgs.com:80/live/55163a3561c2d684c8062ef37e5b41b2.flv
香蕉,http://ali.hlspull.yximgs.com:80/live/5f9475d108a8dc2a4c6f3645b54363bc.flv
惊艳,http://ali.hlspull.yximgs.com:80/live/8380a44e9972f6ba846596ad36d48ca2.flv
潘朵拉,http://ali.hlspull.yximgs.com:80/live/17a80b1d82886ec94058d087e01e9232.flv
彩虹电影,http://ali.hlspull.yximgs.com:80/live/29da97373c682cfe7543b56b4af69f72.flv
k频道,http://ali.hlspull.yximgs.com:80/live/4eba625e6293d75fc0b8bd12bd3ce2ce.flv
e频道,http://ali.hlspull.yximgs.com:80/live/bed54c207a02bf24cc861a552b9dc373.flv
松3,http://ali.hlspull.yximgs.com:80/live/fb83499e38a31f6ae11e49138ebb0743.flv
松1,http://ali.hlspull.yximgs.com:80/live/c71885f5a6b7ac11130fd9373a3a63d4.flv
以上为临时源,https://cf005.paopao.video:443/8FD49DF7895AED29D436FF2D3A28828D6FD808FB
无信号请重启软件,https://cf005.paopao.video:443/8FD49DF7895AED29D436FF2D3A28828D6FD808FB
pigoo,https://luong.utako.moe/pigoo/index.m3u8 
俄罗斯_38450,#genre#
EroLuxe Japanese,http://cdntv.online/high/ynemik5cl9/1694.mpeg
femjoy,http://rhsbjv7k.tvclub.xyz/iptv/CE8B355427DHX5/6212/index.m3u8
Playboy P,http://rhsbjv7k.tvclub.xyz/iptv/CE8B355427DHX5/6242/index.m3u8
femjoy,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/6212/index.m3u8
Кино 18+,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/18075/index.m3u8
japanhdv,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/6225/manifest.m3u8
Playboy Plus,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/6242/manifest.m3u8
Playboy,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/527/index.m3u8
Playboy Plus,http://77fb8f92.amazzin.pw/iptv/ND5SZ7MVA9TTVS/6242/index.m3u8
GON,http://162.19.243.184/716/index.m3u8?token=M4f082ab4c
 Fake Taxi,http://main.movistar-balancer.store:8080/AN229277/6TMzJY4P4wxRWInVsLGsMeXlkjoZTb/58036
